KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"2416592";"004";"006";"BANDEJA ESTAMPA";"UN";"UN";        1500.00000;        1500.00000;"N";        1500.00000;        1500.00000;           1.00000;           0.00000;           0.00000;"002";"";"";"";"";"/  /";"/  /";           3.00000;        4500.00000;        1500.00000;"UN";
"A203";"004";"004";"IPEL FAP 771";"KG";"KG";       14073.76223;       14072.94856;"N";       14067.40000;       14067.40000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          28.71900;      404184.37748;       14073.76223;"KG";
"A303";"004";"004";"TEGO FOAMEX 1488";"KG";"KG";        8644.19673;        8644.18897;"N";        9056.23300;        9056.23300;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.40000;        3457.67869;        8644.19673;"KG";
"A501";"004";"004";"AMONIACO KG";"KG";"KG";        1241.54993;        1241.54994;"N";        1245.15000;        1245.15000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         113.13200;      140459.02668;        1241.54993;"KG";
"A802";"004";"004";"CERA HIDROREPELENTE";"KG";"KG";        3581.77135;        3581.77927;"N";        3680.00000;        3680.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         847.42900;     3035296.91336;        3581.77135;"KG";
"A900";"004";"004";"QUARTZENE";"KG";"KG";       37325.75910;       37325.75910;"E";       18568.00000;       18568.00000;         742.72000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          94.00300;     3508733.33268;       37325.75910;"KG";
"A102";"004";"004";"ESPESANTE AUXILIAR";"KG";"KG";        2222.33030;        2222.31217;"N";        2225.60500;        2225.60500;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         283.77300;      630637.33622;        2222.33030;"KG";
"A302";"004";"004";"ANTIESPUMANTE";"KG";"KG";        2623.26022;        2623.48815;"N";        2624.51800;        2624.51800;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         812.19490;     2130598.57206;        2623.26022;"KG";
"A906";"004";"004";"OMACIDE FI-MAX";"KG";"KG";        5766.09312;        5766.08733;"N";        5792.75000;        5792.75000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          20.60000;      118781.51827;        5766.09312;"KG";
"A910";"004";"004";"ANTIGEL KF-D";"KG";"KG";       21508.51345;       21508.51345;"N";       18672.72000;       18672.72000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          19.04400;      409608.13014;       21508.51345;"KG";
"C306";"004";"004";"CUARZO -10/+14";"KG";"KG";         185.99991;         185.99996;"N";         186.00000;         186.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        2484.53600;      462123.47239;         185.99991;"KG";
"GRAN000PISOAM";"004";"010";"ECOVIT PLUS AMARILLO GRANEL";"KG";"KG";        2948.47959;        2948.47959;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";         164.23000;      484228.80307;        2948.47959;"KG";
"80090030";"004";"010";"BOQUILLA AUTOLIMPIANTE WAGNER TT3 20X0.0017";"1";"1";       35869.00000;       35869.00000;"N";       35869.00000;       35869.00000;           1.00000;           0.00000;           0.00000;"";"";"";"";"";"/  /";"/  /";           1.00000;       35869.00000;       35869.00000;"1";
"A801";"004";"004";"DOWANOL PMA";"KG";"KG";        1257.00000;        1257.00000;"N";        1242.42900;        1242.42900;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          84.00000;      105588.00000;        1257.00000;"KG";
"GRAN00900COBL";"004";"010";"LATEX CONSTRUCCION BLANCO";"KG";"KG";         420.89507;         420.89507;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"";"/  /";"/  /";           0.01000;           4.20895;         420.89507;"KG";
"GRAN00SMARTOB";"004";"010";"SMART-COPPER OPACO BLANCO GRANEL";"KG";"KG";         911.46449;         911.46434;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0005";"0002";"";"";"/  /";"/  /";        1073.00100;      978002.30923;         911.46449;"KG";
"GRAN00ZINCBIN";"004";"010";"ZINC-ACRYL BASE INCOLORA GRANEL";"KG";"KG";         991.08003;         991.08003;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         821.00300;      813679.67787;         991.08003;"KG";
"GRAN925BLAN00";"004";"010";"HIDRO COPPER AR BLANCO GRANEL";"KG";"KG";        1269.07072;        1269.08927;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"";"";"";"";"";"/  /";"/  /";         378.80100;      480725.25781;        1269.07072;"KG";
"GRAN00912G10I";"004";"010";"TEXTURAMICA GRANO FINO G-10 INCOLORO GRANEL";"KG";"KG";         456.45730;         456.45730;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00100;           0.45646;         456.45730;"KG";
"GRAN00ESINTBL";"004";"010";"ESMALTE SINTETICO BLANCO GRANEL";"KG";"KG";        1957.61176;        1957.61176;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         524.11250;     1026008.79356;        1957.61176;"KG";
"GRAN00HIDTEBC";"004";"010";"HIDRO COPPER AR TEXTURA BASE BLANCA";"KG";"KG";         964.45804;         964.39765;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"";"";"";"/  /";"/  /";         352.99800;      340451.75920;         964.45804;"KG";
"L109";"004";"004";"COLANYL VIOLETA 23";"KG";"KG";       40278.31216;       40252.17927;"N";       41730.95000;       41730.95000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00030;          12.08349;       40278.31216;"KG";
"L109";"004";"010";"COLANYL VIOLETA 23";"KG";"KG";       40278.31216;       40252.17927;"N";       41730.95000;       41730.95000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          17.04440;      686519.66378;       40278.31216;"KG";
"L206";"004";"004";"HOSTATIN VERDE GG-BR KG.";"KG";"KG";       19373.32194;       19373.32196;"N";       20951.40000;       20951.40000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00050;           9.68666;       19373.32194;"KG";
"L206";"004";"010";"HOSTATIN VERDE GG-BR KG.";"KG";"KG";       19373.32194;       19373.32196;"N";       20951.40000;       20951.40000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           2.28300;       44229.29399;       19373.32194;"KG";
"10701302";"004";"006";"RODILLO CHIPORRO 18 cm. LIZCAL";"UN";"UN";        2748.63889;        2474.00000;"N";        1252.00000;        1252.00000;           1.00000;           0.00000;           0.00000;"002";"";"";"";"";"/  /";"/  /";          12.00000;       32983.66668;        2748.63889;"UN";
"A108";"004";"004";"ESPESANTE CELULOSICO ZENCELLOSE E30KDB";"KG";"KG";        7773.81223;        7773.81311;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.30000;        2332.14367;        7773.81223;"KG";
"A403";"004";"004";"REOTAN L";"KG";"KG";        1624.99084;        1624.99108;"N";        1625.00000;        1625.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         268.00800;      435510.54505;        1624.99084;"KG";
"A916";"004";"004";"ANTIMICROBIANO C/COBRE";"KG";"KG";       14256.00000;       14256.00000;"N";       14256.00000;       14256.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          63.14700;      900223.63200;       14256.00000;"KG";
"L309";"004";"004";"CONCENTRADO AMARILLO OXIDO PANORAMICA";"KG";"KG";        1012.41721;        1011.91489;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00100;           1.01242;        1012.41721;"KG";
"L309";"004";"010";"CONCENTRADO AMARILLO OXIDO PANORAMICA";"KG";"KG";        1012.41721;        1011.91489;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         271.47436;      274845.31414;        1012.41721;"KG";
"L407";"004";"010";"CONCENTRADO SINTETICO ROJO OXIDO GRANEL";"KG";"KG";        2548.35969;        2548.35969;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         109.35675;      278680.33353;        2548.35969;"KG";
"P103";"004";"004";"BAYFERROX NEGRO 318 M";"KG";"KG";        1336.00258;        1336.00258;"E";        1335.52000;        1335.52000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          68.00000;       90848.17544;        1336.00258;"KG";
"P207";"004";"004";"AMARILLO TCY 07402S";"KG";"KG";       11486.58292;       11486.58292;"N";       13127.81000;       13127.81000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         110.05000;     1264098.45035;       11486.58292;"KG";
"PANES930BL056";"004";"006";"ESMALTE AGUA 930 BLANCO 4 GALONES";"GL";"BD";        5347.48381;        5347.48381;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"01";"/  /";"/  /";          18.00000;      385018.83432;       21389.93524;"BD";
"PANES930BL056";"006";"007";"ESMALTE AGUA 930 BLANCO 4 GALONES";"GL";"BD";        5347.48381;        5347.48381;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"01";"/  /";"/  /";          12.00000;      256679.22288;       21389.93524;"BD";
"PCA106BLANCO1";"004";"006";"ANTICORROSIVO ESTRUCTURAL BLANCO GL.";"GL";"GL";        7939.06240;        7939.06236;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          14.00000;      111146.87360;        7939.06240;"GL";
"PCA106BLANCO1";"006";"007";"ANTICORROSIVO ESTRUCTURAL BLANCO GL.";"GL";"GL";        7939.06240;        7939.06236;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          13.00000;      103207.81120;        7939.06240;"GL";
"PCA106BLANCO1";"007";"014";"ANTICORROSIVO ESTRUCTURAL BLANCO GL.";"GL";"GL";        7939.06240;        7939.06236;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           4.00000;       31756.24960;        7939.06240;"GL";
"PCA106ROJO006";"004";"006";"ANTICORROSIVO ROJO 4 GALONES.";"GL";"BD";        7280.94470;        7280.94778;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0003";"";"01";"/  /";"/  /";          15.00000;      436856.68200;       29123.77880;"BD";
"PCA106ROJO006";"006";"007";"ANTICORROSIVO ROJO 4 GALONES.";"GL";"BD";        7280.94470;        7280.94778;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0003";"";"01";"/  /";"/  /";           5.00000;      145618.89400;       29123.77880;"BD";
"PCA106ROJO006";"007";"014";"ANTICORROSIVO ROJO 4 GALONES.";"GL";"BD";        7280.94470;        7280.94778;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0003";"";"01";"/  /";"/  /";           2.00000;       58247.55760;       29123.77880;"BD";
"EE-26";"004";"003";"GALON LIT. BASE AGUA.";"UN";"UN";        1452.00000;        1452.00000;"N";        1452.00000;        1452.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           2.00000;        2904.00000;        1452.00000;"UN";
"EE-26";"004";"004";"GALON LIT. BASE AGUA.";"UN";"UN";        1452.00000;        1452.00000;"N";        1452.00000;        1452.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         896.00000;     1300992.00000;        1452.00000;"UN";
"EE-36";"004";"004";"1/4 GL LIT. BARNIZ MARINO";"UN";"UN";         706.00000;         706.00000;"N";         706.00000;         706.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         810.00000;      571860.00000;         706.00000;"UN";
"GRAN00952ADE0";"004";"010";"PASTA ADHESIVA EIFS AD GRANEL KG.";"KG";"KG";         317.17402;         317.17402;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00100;           0.31717;         317.17402;"KG";
"GRAN00960BO00";"004";"010";"ESMALTE AL AGUA COPPER BASE OSCURA GRANEL KG.";"KG";"KG";         812.64494;         812.18608;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         529.00500;      429893.23649;         812.64494;"KG";
"GRAN00FIBROIN";"004";"010";"FIBROPLUS INCOLORO 921 GRANEL";"KG";"KG";         696.72981;         696.74709;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        2081.77500;     1450434.70021;         696.72981;"KG";
"GRAN00HIDRBIN";"004";"010";"HIDRO COPPER AR BASE INCOLORA GRANEL";"KG";"KG";        1110.56556;        1110.56679;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         278.49800;      309290.28733;        1110.56556;"KG";
"C207";"004";"008";"BENTONITA PT-32";"KG";"KG";         361.38000;         361.38000;"N";         360.11900;         360.11900;           1.00000;           0.00000;           0.00000;"004";"";"";"";"02";"/  /";"/  /";        3695.34500;     1335423.77610;         361.38000;"KG";
"C208";"004";"004";"CARBONATO PREMIUM";"KG";"KG";         400.00000;         400.00000;"N";         400.00000;         400.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        8452.72200;     3381088.80000;         400.00000;"KG";
"C311";"004";"004";"CUARZO 24/50";"KG";"KG";         186.00000;         186.00000;"N";         186.00000;         186.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        1000.00000;      186000.00000;         186.00000;"KG";
"CAJA02";"006";"007";"CAJA 1/4 GALON 330x218x133";"UN";"UN";         271.00000;         271.00000;"N";         271.00000;         271.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        1111.00000;      301081.00000;         271.00000;"UN";
"EE-21";"004";"004";"GALON LIT. BASE SOLVENTE.";"UN";"UN";        1388.01335;        1388.01923;"N";        1388.00000;        1388.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         850.00000;     1179811.34750;        1388.01335;"UN";
"EE-30";"004";"003";"1/4 GL LIT. STAIN.";"UN";"UN";         706.00000;         706.00000;"N";         706.00000;         706.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           9.00000;        6354.00000;         706.00000;"UN";
"EE-30";"004";"004";"1/4 GL LIT. STAIN.";"UN";"UN";         706.00000;         706.00000;"N";         706.00000;         706.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         729.00000;      514674.00000;         706.00000;"UN";
"EE-43";"004";"004";"GALON LIT. EPOXYCOPPER";"UN";"UN";        1439.24399;        1439.24399;"N";        1452.00000;        1452.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          64.00000;       92111.61536;        1439.24399;"UN";
"PCA106ROJO002";"004";"006";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"GL";"04";        9507.18933;        9500.59167;"N";        9200.00000;        2300.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          27.00000;       64173.52798;        2376.79733;"04";
"PCA106ROJO002";"004";"015";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"GL";"04";        9507.18933;        9500.59167;"N";        9200.00000;        2300.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           1.00000;        2376.79733;        2376.79733;"04";
"PCA106ROJO002";"006";"007";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"GL";"04";        9507.18933;        9500.59167;"N";        9200.00000;        2300.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           4.00000;        9507.18933;        2376.79733;"04";
"PCA106ROJO002";"007";"014";"ANTICORROSIVO ESTRUCTURAL ROJO 1/4";"GL";"04";        9507.18933;        9500.59167;"N";        9200.00000;        2300.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           6.00000;       14260.78400;        2376.79733;"04";
"PCA106VERDE01";"004";"006";"ANTICORROSIVO ESTRUCTURAL VERDE OXIDO GL";"GL";"GL";        8674.54046;        8674.54046;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          26.00000;      225538.05196;        8674.54046;"GL";
"PCA106VERDE01";"006";"007";"ANTICORROSIVO ESTRUCTURAL VERDE OXIDO GL";"GL";"GL";        8674.54046;        8674.54046;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          14.00000;      121443.56644;        8674.54046;"GL";
"PCA106VERDE01";"007";"014";"ANTICORROSIVO ESTRUCTURAL VERDE OXIDO GL";"GL";"GL";        8674.54046;        8674.54046;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           4.00000;       34698.16184;        8674.54046;"GL";
"PCA900CONBL06";"004";"006";"LATEX CONSTRUCCION BLANCO 4 GALONES";"GL";"BD";        2982.53047;        2983.09165;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"";"/  /";"/  /";         104.00000;     1240732.67552;       11930.12188;"BD";
"PCA900CONBL06";"004";"015";"LATEX CONSTRUCCION BLANCO 4 GALONES";"GL";"BD";        2982.53047;        2983.09165;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"";"/  /";"/  /";           1.00000;       11930.12188;       11930.12188;"BD";
"PCA900CONBL06";"006";"007";"LATEX CONSTRUCCION BLANCO 4 GALONES";"GL";"BD";        2982.53047;        2983.09165;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"";"/  /";"/  /";          14.00000;      167021.70632;       11930.12188;"BD";
"PCA900CONBL06";"007";"014";"LATEX CONSTRUCCION BLANCO 4 GALONES";"GL";"BD";        2982.53047;        2983.09165;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"";"/  /";"/  /";          36.00000;      429484.38768;       11930.12188;"BD";
"PCA900BLAN002";"004";"015";"LATEX 900 BLANCO 1/4";"GL";"04";        5956.00000;        5956.00000;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0001";"";"01";"/  /";"/  /";           1.00000;        1489.00000;        1489.00000;"04";
"PCA903BLAN001";"004";"006";"STOP WATER  BLANCO GL.";"GL";"GL";       10696.37500;       10696.37500;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           5.00000;       53481.87500;       10696.37500;"GL";
"PCA903BLAN001";"004";"015";"STOP WATER  BLANCO GL.";"GL";"GL";       10696.37500;       10696.37500;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           1.00000;       10696.37500;       10696.37500;"GL";
"L101";"004";"004";"COLANYL AMARILLO 2GXD KG.";"KG";"KG";       10537.81080;       10537.78220;"N";       10393.10000;       10393.10000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          60.00000;      632268.64800;       10537.81080;"KG";
"L101";"004";"010";"COLANYL AMARILLO 2GXD KG.";"KG";"KG";       10537.81080;       10537.78220;"N";       10393.10000;       10393.10000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          15.99599;      168562.71618;       10537.81080;"KG";
"L408";"004";"010";"CONCENTRADO SINTETICO VERDE FTALO GRANEL";"KG";"KG";        3925.48727;        3925.48738;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         282.57147;     1109230.70835;        3925.48727;"KG";
"P206";"004";"004";"CQ520";"KG";"KG";       19235.03704;       19235.03704;"N";       19235.04000;       19235.04000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          13.50400;      259749.94019;       19235.03704;"KG";
"PCA108NEGR001";"004";"006";"ESMALTE ANTICORROSIVO NEGRO GL";"GL";"GL";        8423.22913;        8423.62968;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";         246.00000;     2072114.36598;        8423.22913;"GL";
"L111";"004";"004";"COLANYL CARMIN FBB";"KG";"KG";       20217.09124;       20228.42572;"N";       21751.50000;       21751.50000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          19.50000;      394233.27918;       20217.09124;"KG";
"L111";"004";"010";"COLANYL CARMIN FBB";"KG";"KG";       20217.09124;       20228.42572;"N";       21751.50000;       21751.50000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           7.65250;      154711.29071;       20217.09124;"KG";
"L201";"004";"004";"HOSTATIN AMARILLO 2GXD KG.";"KG";"KG";       17878.28299;       17878.28291;"N";       17623.55000;       17623.55000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          20.00000;      357565.65980;       17878.28299;"KG";
"L201";"004";"010";"HOSTATIN AMARILLO 2GXD KG.";"KG";"KG";       17878.28299;       17878.28291;"N";       17623.55000;       17623.55000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00010;           1.78783;       17878.28299;"KG";
"MIX0020108";"001";"002";"MIXTINTER ROJO OXR 1/4";"04";"04";        8072.91892;        8072.91892;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"005";"";"";"";"";"/  /";"/  /";           3.00000;       24218.75676;        8072.91892;"04";
"P203";"004";"004";"AMARILLO CROMO AL-73";"KG";"KG";        4321.50423;        4321.50427;"N";        4509.40000;        4509.40000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          97.14700;      419821.17143;        4321.50423;"KG";
"PCA108NEGR001";"006";"007";"ESMALTE ANTICORROSIVO NEGRO GL";"GL";"GL";        8423.22913;        8423.62968;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";          36.00000;      303236.24868;        8423.22913;"GL";
"PCA108NEGR001";"007";"014";"ESMALTE ANTICORROSIVO NEGRO GL";"GL";"GL";        8423.22913;        8423.62968;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"01";"/  /";"/  /";           7.00000;       58962.60391;        8423.22913;"GL";
"PCA113POLROB1";"004";"006";"STAIN POLIDECOR ROBLE GL";"GL";"GL";        8419.53420;        8419.62339;"N";       13490.00000;       13490.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";          21.00000;      176810.21820;        8419.53420;"GL";
"PCA113POLROB1";"006";"007";"STAIN POLIDECOR ROBLE GL";"GL";"GL";        8419.53420;        8419.62339;"N";       13490.00000;       13490.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";          16.00000;      134712.54720;        8419.53420;"GL";
"PCA113POLROB1";"007";"014";"STAIN POLIDECOR ROBLE GL";"GL";"GL";        8419.53420;        8419.62339;"N";       13490.00000;       13490.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";           4.00000;       33678.13680;        8419.53420;"GL";
"PCA824PASELS6";"004";"006";"PASTA ELASTICA BLANCA 4GL.";"GL";"BD";        3692.47445;        3690.96899;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"0001";"";"";"/  /";"/  /";         128.00000;     1890546.91840;       14769.89780;"BD";
"PCA824PASELS6";"004";"015";"PASTA ELASTICA BLANCA 4GL.";"GL";"BD";        3692.47445;        3690.96899;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"0001";"";"";"/  /";"/  /";           1.00000;       14769.89780;       14769.89780;"BD";
"PCA113POLARB2";"004";"006";"STAIN POLIDECOR ARBOLEDA 1/4 GL";"GL";"04";       10088.76776;       10088.76776;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";          49.00000;      123587.40506;        2522.19194;"04";
"PCA113POLARB2";"007";"014";"STAIN POLIDECOR ARBOLEDA 1/4 GL";"GL";"04";       10088.76776;       10088.76776;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";           6.00000;       15133.15164;        2522.19194;"04";
"PCA113POLCAS2";"004";"006";"STAIN POLIDECOR CASTAÑO 1/4 GL";"GL";"04";        9802.17337;        9802.17337;"N";       14760.00000;        3690.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";          21.00000;       51461.41019;        2450.54334;"04";
"PCA113POLCAS2";"006";"007";"STAIN POLIDECOR CASTAÑO 1/4 GL";"GL";"04";        9802.17337;        9802.17337;"N";       14760.00000;        3690.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";           1.00000;        2450.54334;        2450.54334;"04";
"PCA113POLCAS2";"007";"014";"STAIN POLIDECOR CASTAÑO 1/4 GL";"GL";"04";        9802.17337;        9802.17337;"N";       14760.00000;        3690.00000;           1.00000;           0.00000;           0.00000;"003";"0002";"0005";"";"01";"/  /";"/  /";           6.00000;       14703.26006;        2450.54334;"04";
"80090014";"004";"006";"TAMBOR METALICO VACIO";"UN";"UN";           1.00000;           1.00000;"N";          10.00000;          10.00000;           1.00000;           0.00000;           0.00000;"002";"";"";"";"";"/  /";"/  /";         104.00000;         104.00000;           1.00000;"UN";
"80090014";"004";"012";"TAMBOR METALICO VACIO";"UN";"UN";           1.00000;           1.00000;"N";          10.00000;          10.00000;           1.00000;           0.00000;           0.00000;"002";"";"";"";"";"/  /";"/  /";           3.00000;           3.00000;           1.00000;"UN";
"A010";"004";"004";"ADISORB UV 292";"KG";"KG";       25937.32325;       25929.44003;"N";       25867.00000;       25867.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           2.51600;       65258.30530;       25937.32325;"KG";
"A106";"004";"004";"ADITIVO REOLOGICO ALTERNATIVO";"KG";"KG";        3987.47551;        3987.52880;"N";        3984.83000;        3984.83000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         162.71800;      648834.04004;        3987.47551;"KG";
"A306";"004";"004";"ACRYSOL RM 2020";"KG";"KG";        2804.87218;        2804.87172;"N";        2805.00000;        2805.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         342.82000;      961566.28075;        2804.87218;"KG";
"A502";"004";"004";"MONOETANOLAMINA";"KG";"KG";        2109.68741;        2104.71751;"N";        2072.92400;        2072.92400;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          90.81100;      191582.82339;        2109.68741;"KG";
